pattern,name
pino,Pino
bunyan,Bunyan
log4j,Log4j
slf4j,SLF4J
logback,Logback
lodash,Lodash
lodash.min.js,Lodash
underscore,Underscore
ramda,Ramda
moment,Moment.js
moment.js,Moment.js
momentjs,Moment.js
dayjs,Day.js
luxon,Luxon
date-fns,date-fns
axios,Axios
rxjs,RxJS
zod,Zod
yup,Yup
joi,Joi
ajv,AJV
class-validator,Class Validator
formik,Formik
react-hook-form,React Hook Form
final-form,Final Form
react-select,React Select
downshift,Downshift
headless-ui,Headless UI
radix-ui,Radix UI
@radix-ui,Radix UI
mui,Material UI
@mui,Material UI
material-ui,Material UI
material icons,Material Icons
ant-design,Ant Design
antd,Ant Design
chakra-ui,Chakra UI
@chakra-ui,Chakra UI
mantine,Mantine
nextui,NextUI
daisyui,DaisyUI
shadcn,Shadcn UI
aceternity,Aceternity UI
preline,Preline
flowbite,Flowbite
ionic,Ionic
capacitor,Capacitor
cordova,Cordova
react-native,React Native
expo,Expo
flutter,Flutter
xamarin,Xamarin
nativescript,NativeScript
electron,Electron
electronjs.org,Electron
tauri,Tauri
tauri.app,Tauri
neutralino,Neutralino
nwjs,NW.js
pwa,PWA
service-worker,PWA
serviceworker,PWA
workbox,Workbox
webassembly,WebAssembly
.wasm,WebAssembly
emscripten,Emscripten
google fonts,Google Fonts
googleapis.com/css,Google Fonts
typekit,Typekit
fonts.com,Fonts.com
cloud.typography,Cloud Typography
font-awesome,Font Awesome
fontawesome,Font Awesome
fa-,Font Awesome
ionicons,Ionicons
feather,Feather Icons
lucide,Lucide
heroicons,Heroicons
next/image,Next Image
react-query,React Query
tanstack,TanStack Query
swr,SWR
redux,Redux
zustand,Zustand
mobx,MobX
recoil,Recoil
jotai,Jotai
valtio,Valtio
xstate,XState
immer,Immer
stripe.js,Stripe
js.stripe.com,Stripe
checkout.stripe.com,Stripe
stripe.com/v3,Stripe
m.stripe.com,Stripe
m.stripe.network,Stripe
paypal.com/sdk,PayPal
paypalobjects.com,PayPal
www.paypalobjects.com,PayPal
paypal.me,PayPal
www.paypal.com/sdk,PayPal
braintreepayments,Braintree
js.braintreegateway.com,Braintree
braintree-api,Braintree
assets.braintreegateway.com,Braintree
square.com,Square
squareup.com,Square
squareupsandbox.com,Square
web.squarecdn.com,Square
adyen.com,Adyen
checkoutshopper,Adyen
live.adyen.com,Adyen
test.adyen.com,Adyen
checkout.com,Checkout.com
checkout,Checkout.com
mollie.com,Mollie
js.mollie.com,Mollie
razorpay.com,Razorpay
checkout.razorpay.com,Razorpay
payu,PayU
payu.in,PayU
paddle.com,Paddle
cdn.paddle.com,Paddle
paddle.js,Paddle
chargebee.com,Chargebee
js.chargebee.com,Chargebee
recurly.com,Recurly
js.recurly.com,Recurly
authorize.net,Authorize.Net
authorizenet,Authorize.Net
authorize,Authorize.Net
worldpay.com,Worldpay
secure.worldpay.com,Worldpay
worldpay,Worldpay
eway,eWay
klarna.com,Klarna
x.klarnacdn.net,Klarna
klarna,Klarna
afterpay.com,Afterpay
static.afterpay.com,Afterpay
afterpay,Afterpay
clearpay.co.uk,Clearpay
affirm.com,Affirm
cdn1.affirm.com,Affirm
affirm,Affirm
sezzle.com,Sezzle
widget.sezzle.com,Sezzle
sezzle,Sezzle
quadpay.com,Quadpay
splitit.com,Splitit
zip.co,Zip
static.zip.co,Zip
laybuy.com,Laybuy
humm.com.au,Humm
openpay.com.au,Openpay
paybright,PayBright
apple-pay,Apple Pay
applepay,Apple Pay
ApplePaySession,Apple Pay
google-pay,Google Pay
googlepay,Google Pay
pay.google.com,Google Pay
amazon-pay,Amazon Pay
amazonpay,Amazon Pay
static-na.payments-amazon.com,Amazon Pay
shop-pay,Shop Pay
shoppay,Shop Pay
cdn.shopify.com/shopifycloud/checkout,Shop Pay
venmo,Venmo
venmo.com,Venmo
cashapp,Cash App
cash.app,Cash App
zelle,Zelle
coinbase-commerce,Coinbase Commerce
commerce.coinbase.com,Coinbase Commerce
bitpay.com,BitPay
bitpay.com/invoice,BitPay
crypto.com,Crypto.com
pay.crypto.com,Crypto.com
moonpay.com,MoonPay
buy.moonpay.com,MoonPay
simplex.com,Simplex
wyre.com,Wyre
ramp.network,Ramp
banxa.com,Banxa
mercuryo.io,Mercuryo
sift.com,Sift
cdn.sift.com,Sift
ravelin.com,Ravelin
forter.com,Forter
signifyd.com,Signifyd
cdn.signifyd.com,Signifyd
kount.com,Kount
riskified.com,Riskified
cybersource.com,CyberSource
3dsecure,3D Secure
3ds,3D Secure
verified-by-visa,Verified by Visa
mastercard-securecode,Mastercard SecureCode
amex-safekey,American Express SafeKey
pci-dss,PCI DSS
pci-compliant,PCI Compliant
tokenization,Tokenization
vault,Payment Vault
alipay,Alipay
alipayobjects.com,Alipay
wechat-pay,WeChat Pay
wxpay,WeChat Pay
paytm,Paytm
securegw.paytm.in,Paytm
mercadopago,Mercado Pago
mercadopago.com,Mercado Pago
paystack.com,Paystack
js.paystack.co,Paystack
flutterwave.com,Flutterwave
checkout.flutterwave.com,Flutterwave
payfast.co.za,PayFast
peach-payments,Peach Payments
yoco.com,Yoco
2checkout,2Checkout
fastspring,FastSpring
bluesnap,BlueSnap
cloudflare,Cloudflare
cdnjs.cloudflare.com,Cloudflare
cloudflare.com,Cloudflare
cf-ray,Cloudflare
__cfduid,Cloudflare
cf-cache-status,Cloudflare
cf-request-id,Cloudflare
__cf_bm,Cloudflare
cf-edge-cache,Cloudflare
fastly,Fastly
fastly.net,Fastly
fastlylb.net,Fastly
x-fastly-request-id,Fastly
fastly-debug-digest,Fastly
fastly-debug-path,Fastly
x-fastly-cache-status,Fastly
akamai,Akamai
akamaihd.net,Akamai
edgesuite.net,Akamai
x-akamai-request-id,Akamai
x-check-cacheable,Akamai
edge-control,Akamai
x-cache-key,Akamai
akamai-grn,Akamai
x-akamai-transformed,Akamai
cloudfront,CloudFront
cloudfront.net,CloudFront
d1.awsstatic.com,CloudFront
x-amz-cf-id,CloudFront
x-amz-cf-pop,CloudFront
x-cache: Hit from cloudfront,CloudFront
x-amz-request-id,CloudFront
cdn77,CDN77
cdn77.com,CDN77
stackpath,StackPath
stackpathcdn.com,StackPath
x-sp-cache,StackPath
bunnycdn,BunnyCDN
bunny.net,BunnyCDN
cdn-pullzone,BunnyCDN
cdn-cachedat,BunnyCDN
keycdn,KeyCDN
keycdn.com,KeyCDN
x-edge-location,KeyCDN
gcore,G-Core Labs
gcdn.co,G-Core Labs
jsdelivr,jsDelivr
cdn.jsdelivr.net,jsDelivr
unpkg,unpkg
unpkg.com,unpkg
cdnjs,cdnjs
bootstrapcdn,BootstrapCDN
netlify,Netlify
netlify.app,Netlify
netlify.com,Netlify
x-nf-request-id,Netlify
netlify-cdn,Netlify
x-nf-site-id,Netlify
vercel,Vercel
vercel.app,Vercel
vercel-dns.com,Vercel
x-vercel-id,Vercel
x-vercel-cache,Vercel
x-vercel-deployment-url,Vercel
onrender.com,Render
x-render-id,Render
railway,Railway
railway.app,Railway
fly.io,Fly.io
fly.dev,Fly.io
deta.sh,Deta
heroku,Heroku
herokuapp.com,Heroku
cloudflare pages,Cloudflare Pages
github pages,GitHub Pages
gitlab pages,GitLab Pages
digitalocean,DigitalOcean
digitaloceanspaces.com,DigitalOcean
linode,Linode
linodelabs.com,Linode
vultr,Vultr
vultr.com,Vultr
hetzner,Hetzner
hetzner.com,Hetzner
ovh,OVH
ovh.net,OVH
scaleway,Scaleway
scaleway.com,Scaleway
contabo,Contabo
contabo.net,Contabo
aws,AWS
amazon-aws,AWS
amazonaws.com,AWS
aws-amplify,AWS Amplify
google cloud,Google Cloud
googleapis.com,Google Cloud
gcp,Google Cloud
gfe,Google Cloud
x-goog-gfe-backend-response-time,Google Cloud
x-cloud-trace-context,Google Cloud
via: 1.1 google,Google Cloud
azure,Microsoft Azure
azurewebsites.net,Azure
windows.net,Azure
x-azure-ref,Azure
x-ec-debug,Azure
x-azure-requestid,Azure
oracle cloud,Oracle Cloud
oci,Oracle Cloud
ibm cloud,IBM Cloud
bluemix.net,IBM Cloud
nginx,Nginx
server: nginx,Nginx
openresty,OpenResty
apache,Apache
httpd,Apache
server: apache,Apache
caddy,Caddy
server: caddy,Caddy
traefik,Traefik
envoy,Envoy
litespeed,LiteSpeed
server: litespeed,LiteSpeed
x-litespeed-cache,LiteSpeed
openlitespeed,OpenLiteSpeed
iis,IIS
microsoft-iis,IIS
server: microsoft-iis,IIS
x-powered-by: asp.net,IIS
kestrel,Kestrel
tomcat,Tomcat
server: apache-tomcat,Tomcat
jetty,Jetty
jboss,JBoss
wildfly,WildFly
websphere,WebSphere
weblogic,WebLogic
glassfish,GlassFish
undertow,Undertow
gunicorn,Gunicorn
server: gunicorn,Gunicorn
uvicorn,Uvicorn
server: uvicorn,Uvicorn
puma,Puma
server: puma,Puma
passenger,Passenger
x-powered-by: phusion passenger,Passenger
x-powered-by: phusion,Passenger
php,PHP
x-powered-by: php,PHP
python,Python
ruby,Ruby
nodejs,Node.js
node.js,Node.js
go,Go
golang,Go
rust,Rust
java,Java
.net,DotNet
scala,Scala
perl,Perl
cloudinary,Cloudinary
res.cloudinary.com,Cloudinary
imgix,Imgix
imgix.net,Imgix
uploadcare,Uploadcare
ucarecdn.com,Uploadcare
imagekit,ImageKit
ik.imagekit.io,ImageKit
sirv,Sirv
youtube,YouTube
vimeo,Vimeo
wistia,Wistia
vidyard,Vidyard
brightcove,Brightcove
jwplayer,JW Player
videojs,Video.js
flowplayer,Flowplayer
dailymotion,Dailymotion
kaltura,Kaltura
recaptcha,reCAPTCHA
hcaptcha,hCaptcha
cloudflare turnstile,Cloudflare Turnstile
turnstile,Cloudflare Turnstile
imperva,Imperva
x-iinfo,Imperva
incapsula,Imperva
visid_incap,Imperva
incap_ses,Imperva
sucuri,Sucuri
x-sucuri-id,Sucuri
x-sucuri-cache,Sucuri
sucuri-firewall,Sucuri
wordfence,Wordfence
ithemes security,iThemes Security
schema.org,Schema.org
schema,Schema.org
structured data,Structured Data
ahrefs,Ahrefs
semrush,SEMrush
screaming frog,Screaming Frog
jenkins,Jenkins
travis,Travis CI
circleci,CircleCI
github actions,GitHub Actions
gitlab ci,GitLab CI
